candidate_id,block_id,p_star,y,h,t,offset,D_t,line_t,diff,abs_diff
hexc_00077,78,3441797,3441229,568,3441244,15,-1024.363848771424,-1007.6373062929937,-16.72654247843036,16.72654247843036
hexc_00077,78,3441797,3441229,568,3441245,16,-1024.0404987064242,-1008.332734308687,-15.70776439773715,15.70776439773715
hexc_00077,78,3441797,3441229,568,3441247,18,-1023.5102045998242,-1009.7235903400735,-13.78661425975065,13.78661425975065
hexc_00077,78,3441797,3441229,568,3441251,22,-1022.71699527626,-1012.5053024028467,-10.211692873413313,10.211692873413313
hexc_00077,78,3441797,3441229,568,3441255,26,-1022.0244604204028,-1015.2870144656199,-6.7374459547828565,6.7374459547828565
hexc_00077,78,3441797,3441229,568,3441260,31,-1036.2674947862815,-1018.7641545440864,-17.503340242195122,17.503340242195122
hexc_00077,78,3441797,3441229,568,3441261,32,-1035.9441447212814,-1019.4595825597797,-16.484562161501685,16.484562161501685
hexc_00077,78,3441797,3441229,568,3441266,37,-1034.8412057149876,-1022.9367226382462,-11.904483076741371,11.904483076741371
hexc_00077,78,3441797,3441229,568,3441274,45,-1033.22976717734,-1028.5001467637926,-4.729620413547309,4.729620413547309
hexc_00077,78,3441797,3441229,568,3441283,54,-1031.156774459864,-1034.7589989050323,3.6022244451683036,3.6022244451683036
hexc_00077,78,3441797,3441229,568,3441293,64,-1044.294173678872,-1041.7132790619653,-2.5808946169067895,2.5808946169067895
hexc_00077,78,3441797,3441229,568,3441294,65,-1044.2762719451696,-1042.4087070776586,-1.8675648675109642,1.8675648675109642
hexc_00077,78,3441797,3441229,568,3441306,77,-1041.620512210563,-1050.7538432659783,9.133331055415283,9.133331055415283
hexc_00077,78,3441797,3441229,568,3441322,93,-1068.5568336032593,-1061.880691517071,-6.6761420861882925,6.6761420861882925
hexc_00077,78,3441797,3441229,568,3441340,111,-1064.7775234950516,-1074.3983957995504,9.62087230449879,9.62087230449879
hexc_00077,78,3441797,3441229,568,3441357,128,-1061.2557097199506,-1086.2206720663364,24.964962346385846,24.964962346385846
hexc_00077,78,3441797,3441229,568,3441362,133,-1060.3596763437972,-1089.6978121448028,29.338135801005592,29.338135801005592
hexc_00077,78,3441797,3441229,568,3441389,160,-1114.832486484966,-1108.474368568522,-6.358117916443916,6.358117916443916
hexc_00077,78,3441797,3441229,568,3441421,192,-1138.3909504069377,-1130.7280650707075,-7.662885336230147,7.662885336230147
hexc_00077,78,3441797,3441229,568,3441459,230,-1160.632712718255,-1157.154329667053,-3.4783830512021723,3.4783830512021723
hexc_00077,78,3441797,3441229,568,3441504,275,-1181.7211744900617,-1188.4485903732514,6.727415883189678,6.727415883189678
hexc_00077,78,3441797,3441229,568,3441559,330,-1230.5189746771832,-1226.6971312363828,-3.8218434408004214,3.8218434408004214
hexc_00077,78,3441797,3441229,568,3441624,395,-1277.529285985455,-1271.8999522564472,-5.62933372900784,5.62933372900784
hexc_00077,78,3441797,3441229,568,3441703,474,-1336.2511197401427,-1326.8387654962178,-9.412354243924938,9.412354243924938
