extreme_type,candidate_id,block_id,x,y,h,p_star,E_theta_sign,row_regime,Q_R2Q,Q_energy_L2,Q_exc,C_bridge,C_exc,C_rms,post_P0_by_pstar,high_energy,threshold_relevant,forbidden,finite_certified_flag,surviving_proxy_flag,h_over_x,rho_proxy
top_C_bridge,hexc_00462,463,604208350,604207847,503,604208581,negative,post_P0_negative_tail,0.0555703834394379,0.01420392955179,0.0060333598827342,5.806926480333364,2.4665904699601264,0.9958796754037181,True,False,False,False,False,False,8.324942877734146e-07,8.324942877734146e-07
top_C_bridge,hexc_00109,110,39655321,39654336,985,39655321,negative,finite_negative,0.0882379519127139,0.018929364342393,0.0103891851313233,5.794292954520493,3.1801375429612335,0.9399584375302563,False,False,False,False,True,False,2.4839037363989565e-05,2.4839037363989565e-05
top_C_bridge,hexc_00298,299,39651863,39651244,619,39651863,negative,finite_negative,0.0700647985436921,0.0187596839925911,0.0057408280408995,5.742296425322801,1.757254351974661,0.9570494042204413,False,False,False,False,True,False,1.5610868018988164e-05,1.5610868018988164e-05
top_C_bridge,hexc_00011,12,3279709,3278912,797,3279709,negative,finite_negative,0.1060058846880691,0.0254216307563309,0.0114062615417102,5.722357435883896,2.5675262997275308,0.9407497674585878,False,True,False,False,True,False,0.0002430093645503,0.0002430093645503
top_C_bridge,hexc_00112,113,30784249,30783029,1220,30784249,negative,finite_negative,0.0966458075650577,0.019183078468522,0.0083504817829622,5.703211321141017,2.482633969293312,0.9376021655840258,False,False,False,False,True,False,3.963065657375627e-05,3.963065657375627e-05
top_C_bridge,hexc_00245,246,12808387,12808371,16,12808469,positive,finite_positive,0.0624388750646292,0.0209007108969602,0.011422400501544,5.597908978702753,3.0593006448996745,1.4453738832067113,False,False,False,False,True,False,1.2491814933449465e-06,1.2491814933449465e-06
top_C_bridge,hexc_00231,232,7103281,7103277,4,7103387,positive,finite_positive,0.0636678531151053,0.0221562198206484,0.0157384918917144,5.514345714148036,3.917070963041614,2.4660903736539255,False,False,False,False,True,False,5.631200567737641e-07,5.631200567737641e-07
top_C_bridge,hexc_00232,233,108545317,108544444,873,108545317,negative,finite_negative,0.072593883103974,0.0161013623864372,0.0084071568650214,5.512286997695768,2.878182625942411,0.9062144001576568,False,False,False,False,True,False,8.04272375933086e-06,8.04272375933086e-06
top_C_exc,hexc_00304,305,30386689,30386676,13,30386821,positive,finite_positive,0.0656901337841472,0.0289054037503281,0.0172880108593613,8.580752479596955,5.132055698999871,2.4770498769724036,False,True,False,False,True,False,4.2781890452098955e-07,4.2781890452098955e-07
top_C_exc,hexc_00662,663,604872091,604872087,4,604872131,positive,post_P0_positive_tail,0.0503724694200252,0.0173298733143556,0.0122977701368278,7.085660762263412,5.028186054290014,3.1688038259847766,True,False,False,False,False,False,6.612968360611632e-09,6.612968360611632e-09
top_C_exc,hexc_00673,674,187509559,187509555,4,187509659,positive,finite_positive,0.0532207644598697,0.0183852514257526,0.0130495572184996,6.671592040126676,4.735389255768944,2.983626663973933,False,False,False,False,True,False,2.133224578700012e-08,2.133224578700012e-08
top_C_exc,hexc_00322,323,179438221,179438217,4,179438351,positive,finite_positive,0.0532141645529486,0.0184274100815586,0.0130795953907561,6.656036436858118,4.724389543344372,2.97666998670605,False,False,False,False,True,False,2.2291794789918253e-08,2.2291794789918253e-08
top_C_exc,hexc_00444,445,179382103,179382099,4,179382319,positive,finite_positive,0.0531359360204135,0.0184277095556904,0.0130798087714223,6.655925850726108,4.724311345431454,2.9766205310843263,False,False,False,False,True,False,2.2298768567787392e-08,2.2298768567787392e-08
top_C_exc,hexc_00525,526,179146273,179146269,4,179146433,positive,finite_positive,0.0531778236195784,0.0184289737116236,0.0130807094930725,6.655460745638621,4.723982459280236,2.97641252976588,False,False,False,False,True,False,2.2328122896533833e-08,2.2328122896533833e-08
top_C_exc,hexc_00448,449,178913599,178913595,4,178913689,positive,finite_positive,0.0532662829880072,0.0184302229129119,0.013081599559448,6.655001264408736,4.723657549883665,2.976207043512983,False,False,False,False,True,False,2.235716022905559e-08,2.235716022905559e-08
top_C_exc,hexc_00423,424,178906843,178906839,4,178907011,positive,finite_positive,0.0537613436683464,0.0184302583442049,0.0130816248069056,6.654987913833227,4.723648109394609,2.976201072954095,False,False,False,False,True,False,2.235800449511034e-08,2.235800449511034e-08
top_C_exc,hexc_00459,460,178299031,178299027,4,178299217,positive,finite_positive,0.0536908999369261,0.0184335280556581,0.0130839545118638,6.653784744914708,4.722797321887344,2.9756629994560737,False,False,False,False,True,False,2.24342217541272e-08,2.24342217541272e-08
top_C_exc,hexc_00355,356,33821509,33821502,7,33821677,positive,finite_positive,0.0654611569085146,0.0245850448951147,0.0155337822934355,7.389235181064235,4.668804596751205,2.612489152156346,False,False,False,False,True,False,2.069688848004978e-07,2.069688848004978e-07
top_C_exc,hexc_00242,243,30781189,30781182,7,30781319,positive,finite_positive,0.0666639054628127,0.0247186134594574,0.0156184300412248,7.348868426896937,4.643374823426486,2.598217349353271,False,False,False,False,True,False,2.2741161818018145e-07,2.2741161818018145e-07
top_C_exc,hexc_00059,60,3290983,3290975,8,3291137,positive,finite_positive,0.0730965487832678,0.0304825946938867,0.0205672364492246,6.864752116121557,4.631790087275691,2.288250705373845,False,True,False,False,True,False,2.430884632342373e-06,2.430884632342373e-06
top_C_exc,hexc_00619,620,109709029,109709025,4,109709357,positive,finite_positive,0.0536476402628444,0.0189123463606488,0.0134251522178237,6.482092317280465,4.601389716008269,2.898879811573653,False,False,False,False,True,False,3.646008023642248e-08,3.646008023642248e-08
top_C_exc,hexc_00428,429,108831199,108831195,4,108831299,positive,finite_positive,0.055060010476967,0.0189204808195844,0.0134309492743368,6.47925206868407,4.5993813106515455,2.897609613786733,False,False,False,False,True,False,3.675416642244289e-08,3.675416642244289e-08
