q,count,count_frac,sum_W,sum_W_frac,sum_W2,sum_W2_frac,mean_W,mean_W_over_shell2,mean_W2,side_left_frac
10957,1,6.058182787491064e-06,2.0983605388522138e-07,2.4346311802696e-12,4.4031169510121524e-14,6.827847072561594e-19,2.0983605388522138e-07,1.3327130775610942e-07,4.4031169510121524e-14,1.0
10973,1,6.058182787491064e-06,2.092245658463158e-07,2.427536365921367e-12,4.3774918953579345e-14,6.788110685093471e-19,2.092245658463158e-07,1.3288293879322976e-07,4.3774918953579345e-14,1.0
10979,1,6.058182787491064e-06,2.089959467785053e-07,2.424883804073249e-12,4.3679305769843825e-14,6.7732840928423435e-19,2.089959467785053e-07,1.327377379967939e-07,4.3679305769843825e-14,1.0
10993,1,6.058182787491064e-06,2.0846395731150466e-07,2.4187113750747357e-12,4.3457221497972845e-14,6.738845819627555e-19,2.0846395731150466e-07,1.323998602552575e-07,4.3457221497972845e-14,0.0
15641,2,1.2116365574982128e-05,2.0595123347352563e-07,2.3895573965754225e-12,2.120795528463332e-14,3.2886856519201536e-19,1.0297561673676282e-07,6.540198814931508e-08,1.060397764231666e-14,0.0
11071,1,6.058182787491064e-06,2.055368669624651e-07,2.3847496926122166e-12,4.2245403680746064e-14,6.550931057701282e-19,2.055368669624651e-07,1.30540803379597e-07,4.2245403680746064e-14,0.0
11083,1,6.058182787491064e-06,2.0509202221890266e-07,2.3795883637413992e-12,4.206273757783885e-14,6.522605300519098e-19,2.0509202221890266e-07,1.3025827309166361e-07,4.206273757783885e-14,1.0
11149,1,6.058182787491064e-06,2.026709964853557e-07,2.351498316154283e-12,4.1075532816367056e-14,6.369520946511998e-19,2.026709964853557e-07,1.2872062853703673e-07,4.1075532816367056e-14,0.0
11173,1,6.058182787491064e-06,2.018012426534672e-07,2.3414069626472592e-12,4.0723741536483555e-14,6.314969203116832e-19,2.018012426534672e-07,1.2816822951668027e-07,4.0723741536483555e-14,0.0
11243,1,6.058182787491064e-06,1.992961974169244e-07,2.3123420754272156e-12,3.9718974304845706e-14,6.159161463339053e-19,1.992961974169244e-07,1.2657722240193113e-07,3.9718974304845706e-14,0.0
11251,1,6.058182787491064e-06,1.990128798908806e-07,2.3090548725369043e-12,3.960612636246207e-14,6.141662303048259e-19,1.990128798908806e-07,1.263972814599101e-07,3.960612636246207e-14,0.0
11279,1,6.058182787491064e-06,1.980260115562181e-07,2.297604693342702e-12,3.921430125286341e-14,6.080902574035965e-19,1.980260115562181e-07,1.257705005463903e-07,3.921430125286341e-14,0.0
11299,1,6.058182787491064e-06,1.973255929287697e-07,2.2894780582957032e-12,3.8937389624690525e-14,6.037962305339631e-19,1.973255929287697e-07,1.2532564988927757e-07,3.8937389624690525e-14,0.0
