candidate_id,block_id,x,y,h,right_endpoint,p_star,post_P0_flag,finite_zone_flag,E_theta,E_theta_sign,Q_R2Q,D_start,D_end,DeltaD,DeltaD_sign,Q_delta_D,bridge_excursion_raw,bridge_excursion_argmax,bridge_path_n_samples,Q_exc,Q_formula_sum,formula_residual,abs_formula_residual,positive_harmless_flag,near_forbidden_flag,forbidden_flag,threshold_relevant_flag,primitive_available_flag,instrumentation_gap_flag
hexc_00017,18,3241093,3239129,1964,3241093,3241093,False,True,-165.06704136906455,negative,0.159654089699117,-1080.182066429391,-2475.688277714416,-1395.5062112850246,negative,0.14011202855347463,81.42228980252094,3240710,39,0.008174984891822905,0.14828701344529754,0.01136707625381947,0.01136707625381947,False,False,False,False,True,False
hexc_00018,19,1515197,1513853,1344,1515197,1515197,False,True,-63.24655312102391,negative,0.1510851987794436,-753.3241327486062,-1758.088336176791,-1004.7642034281848,negative,0.1353288100910507,76.78974942550394,1514743,37,0.010342591208451771,0.14567140129950246,0.00541379747994114,0.00541379747994114,False,False,False,False,True,False
hexc_00019,20,58511,58510,1,58511,58511,False,True,9.97697004973177,positive,0.0923670994574258,-153.79246668300976,-164.44608666774153,-10.653619984731762,negative,0.08841628088234174,0.0,58510,2,0.0,0.08841628088234174,0.0039508185750840585,0.0039508185750840585,True,False,False,False,True,False
hexc_00020,21,30847123,30831334,15789,30847123,30847123,False,True,-424.33160930738086,negative,0.338124053326903,-3291.774805658332,-15413.68237434975,-12121.907568691418,negative,0.3244066291128366,225.3338417937175,30843312,40,0.006030386853480715,0.3304370159663173,0.00768703736058568,0.00768703736058568,False,False,False,False,True,False
hexc_00021,22,60209,60208,1,60209,60209,False,True,10.005577121783782,positive,0.0940510554686493,-135.82731565956084,-146.5095427163446,-10.682227056783772,negative,0.08819341549073223,0.0,60208,2,0.0,0.08819341549073223,0.005857639977917065,0.005857639977917065,True,False,False,False,True,False
hexc_00022,23,354553,354550,3,354553,354619,False,True,22.55722059933116,positive,0.0920232096308952,-358.86430389081664,-383.77482436010666,-24.91052046929002,negative,0.08807285582027803,4.1517562320296975,354552,4,0.014678819275385217,0.10275167509566324,-0.010728465464768036,0.010728465464768036,True,False,False,False,True,False
hexc_00023,24,180619079,180557417,61662,180619079,180619079,False,True,-1166.673386312199,negative,0.5459231094474968,-7832.904115998194,-55664.72449150575,-47831.82037550756,negative,0.5329138719787416,459.09706861431914,180574899,41,0.005114988192559474,0.5380288601713011,0.007894249276195642,0.007894249276195642,False,False,False,False,True,False
hexc_00024,25,109813367,109790208,23159,109813367,109813367,False,True,-719.8064293124298,negative,0.3557665519303423,-6243.548424860049,-23926.429705648483,-17682.881280788435,negative,0.3389837450779626,238.2995725304463,109799994,41,0.004568242033870992,0.3435519871118336,0.012214564818508689,0.012214564818508689,False,False,False,False,True,False
hexc_00025,26,230563,230560,3,230563,230647,False,True,21.69655017143579,positive,0.0944180902326222,-368.1857577200088,-392.2356077613473,-24.04985004133846,negative,0.09105697672258141,4.00831267749993,230562,4,0.015176179208792539,0.10623315593137395,-0.01181506569875175,0.01181506569875175,True,False,False,False,True,False
hexc_00026,27,1192781,1192323,458,1192781,1192781,False,True,-38.252494546276125,negative,0.0967472985369818,-623.3057979417131,-948.8325897505176,-325.52679180880466,negative,0.07769748098553032,50.44514412859007,1192436,35,0.012040362653300515,0.08973784363883083,0.0070094548981509686,0.0070094548981509686,False,False,False,False,True,False
hexc_00027,28,109670797,109660803,9994,109670797,109670797,False,True,-700.5003791113922,negative,0.2345732370876761,-6062.627144332166,-13303.443764865187,-7240.816620533022,negative,0.21133166289965347,335.81014783296996,109668485,40,0.009801010117957643,0.2211326730176111,0.013440564070064998,0.013440564070064998,False,False,False,False,True,False
