candidate_id,x,selected_block_id,control_type,right_endpoint_control_flag,containing_block_control_flag,partial_interval_used_flag,x_precedes_J_flag,scale_ratio,pstar_over_x,h_over_x,status
cand_01248,30348053,theta_local:1249:30348052:1,finite_certificate,True,True,False,True,0.00018152422158153694,1.0,3.295104302078291e-08,covered
cand_01249,30650057,theta_local:1250:30650056:1,finite_certificate,True,True,False,True,0.00018062770200259214,1.0,3.262636673073724e-08,covered
cand_01250,30422963,theta_local:1251:30422962:1,finite_certificate,True,True,False,True,0.00018130060167501338,1.0,3.286990816772186e-08,covered
cand_01251,108804461,theta_local:1252:108804460:1,finite_certificate,True,True,False,True,9.58686582304588e-05,1.0,9.190799630908515e-09,covered
cand_01252,604828963,theta_local:1253:604828962:1,right_endpoint,True,True,False,True,4.0661529440168575e-05,1.0,1.6533599764136957e-09,covered
cand_01253,604838293,theta_local:1254:604838292:1,right_endpoint,True,True,False,True,4.0661215824498826e-05,1.0,1.6533344723264736e-09,covered
cand_01254,112219651,theta_local:1255:112219650:1,finite_certificate,True,True,False,True,9.439859776005543e-05,1.0,8.911095259064742e-09,covered
cand_01255,179380469,theta_local:1256:179380468:1,finite_certificate,True,True,False,True,7.466420107750378e-05,1.0,5.5747429225419185e-09,covered
cand_01256,30784291,theta_local:1257:30784290:1,finite_certificate,True,True,False,True,0.0001802334608595804,1.0,3.24841004134219e-08,covered
cand_01257,178878053,theta_local:1258:178878052:1,finite_certificate,True,True,False,True,7.476898247787844e-05,1.0,5.590400740777294e-09,covered
cand_01258,33902221,theta_local:1259:33902220:1,finite_certificate,True,True,False,True,0.00017174572066975874,1.0,2.94965925683748e-08,covered
cand_01259,108563909,theta_local:1260:108563908:1,finite_certificate,True,True,False,True,9.597481062109527e-05,1.0,9.211164273755103e-09,covered
cand_01260,30423017,theta_local:1261:30423016:1,finite_certificate,True,True,False,True,0.00018130044077320612,1.0,3.286984982455882e-08,covered
cand_01261,604871021,theta_local:1262:604871020:1,right_endpoint,True,True,False,True,4.066011577322609e-05,1.0,1.6532450146921487e-09,covered
cand_01262,178039643,theta_local:1263:178039642:1,finite_certificate,True,True,False,True,7.494482375283357e-05,1.0,5.616726607343287e-09,covered
cand_01263,108592369,theta_local:1264:108592368:1,finite_certificate,True,True,False,True,9.596223320831873e-05,1.0,9.208750202327752e-09,covered
cand_01264,109588133,theta_local:1265:109588132:1,finite_certificate,True,True,False,True,9.552526165260391e-05,1.0,9.12507561379844e-09,covered
cand_01265,40841069,theta_local:1266:40841068:1,finite_certificate,True,True,False,True,0.00015647733807243593,1.0,2.4485157330235406e-08,covered
cand_01266,604150829,theta_local:1267:604150828:1,right_endpoint,True,True,False,True,4.068434347183613e-05,1.0,1.6552158037343353e-09,covered
cand_01267,109594687,theta_local:1268:109594686:1,finite_certificate,True,True,False,True,9.552240530097587e-05,1.0,9.124529914483902e-09,covered
cand_01268,604160737,theta_local:1269:604160736:1,right_endpoint,True,True,False,True,4.0684009866800985e-05,1.0,1.6551886588419597e-09,covered
cand_01269,109813801,theta_local:1270:109813800:1,finite_certificate,True,True,False,True,9.542705869049083e-05,1.0,9.10632353031838e-09,covered
cand_01270,30982811,theta_local:1271:30982810:1,finite_certificate,True,True,False,True,0.00017965511686543289,1.0,3.227596101593235e-08,covered
cand_01271,109682933,theta_local:1272:109682932:1,finite_certificate,True,True,False,True,9.548397103356525e-05,1.0,9.117188724338726e-09,covered
cand_01272,109684063,theta_local:1273:109684062:1,finite_certificate,True,True,False,True,9.54834791792237e-05,1.0,9.117094796169249e-09,covered
cand_01273,33862223,theta_local:1274:33862222:1,finite_certificate,True,True,False,True,0.0001718471236103814,1.0,2.953143389316171e-08,covered
cand_01274,1516681,theta_local:1275:1516680:1,finite_certificate,True,True,False,True,0.0008119941060549888,1.0,6.593344282680405e-07,covered
cand_01275,604849313,theta_local:1276:604849312:1,right_endpoint,True,True,False,True,4.066084541105059e-05,1.0,1.6533043495413542e-09,covered
cand_01276,604150787,theta_local:1277:604150786:1,right_endpoint,True,True,False,True,4.068434488600494e-05,1.0,1.6552159188033964e-09,covered
cand_01277,152981,theta_local:1278:152980:1,finite_certificate,True,True,False,True,0.0025567087176410807,1.0,6.5367594668618975e-06,covered
cand_01278,7048673,theta_local:1279:7048672:1,finite_certificate,True,True,False,True,0.0003766572387672946,1.0,1.4187067551580275e-07,covered
cand_01279,109590289,theta_local:1280:109590288:1,finite_certificate,True,True,False,True,9.55243220005647e-05,1.0,9.124896093667569e-09,covered
cand_01280,108548681,theta_local:1281:108548680:1,finite_certificate,True,True,False,True,9.598154240792421e-05,1.0,9.212456483004155e-09,covered
cand_01281,604872803,theta_local:1282:604872802:1,right_endpoint,True,True,False,True,4.06600558793283e-05,1.0,1.6532401441100998e-09,covered
cand_01282,187509379,theta_local:1283:187509378:1,finite_certificate,True,True,False,True,7.30278478817015e-05,1.0,5.333066566232935e-09,covered
cand_01283,604150567,theta_local:1284:604150566:1,right_endpoint,True,True,False,True,4.068435229355824e-05,1.0,1.6552165215463581e-09,covered
cand_01284,30801559,theta_local:1285:30801558:1,finite_certificate,True,True,False,True,0.00018018293244759977,1.0,3.246588914541631e-08,covered
cand_01285,604365233,theta_local:1286:604365232:1,right_endpoint,True,True,False,True,4.067712626337575e-05,1.0,1.6546286010466125e-09,covered
cand_01286,179150141,theta_local:1287:179150140:1,finite_certificate,True,True,False,True,7.47121824300728e-05,1.0,5.581910203464478e-09,covered
cand_01287,604848941,theta_local:1288:604848940:1,right_endpoint,True,True,False,True,4.066085791486034e-05,1.0,1.6533053663724608e-09,covered
cand_01288,179433659,theta_local:1289:179433658:1,finite_certificate,True,True,False,True,7.46531338027421e-05,1.0,5.573090386570114e-09,covered
