crossing_id,block_id,p_star,y,h,local_theta_sign,theta_end_error,theta_end_norm,E_theta_local,theta_local_norm,Q_theta,Q_R2Q,B2_active_flag,covered_flag,finite_certificate_flag,negative_transfer_flag,positive_harmless_flag,Cplus_value,O2_B3_repaid_flag,tail_flag,near_forbidden_R2Q,forbidden_R2Q,crossing_status
31,32,3293113,3292080,1033,negative,-1071.3370436117984,-0.0026212904005023,-117.56184933337444,-0.016240843463246,0.016240843463246,0.1154116378424172,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
32,33,1197697,1197615,4,positive,-634.996377520496,-0.002962194697145,23.99169028406876,0.0612390577643984,0.0612390577643984,0.0726584885625681,True,True,True,False,True,0.0726584885625681,False,False,False,False,positive_harmless
33,34,127,126,1,positive,-15.086008474003194,-0.057046719039518,3.844187086458591,0.1638184076850698,0.1638184076850698,0.2157084836048593,True,True,True,False,True,0.2157084836048593,False,False,False,False,positive_harmless
34,35,354953,354952,1,positive,-366.50583775300765,-0.0037666163662664,11.779740665326448,0.0721259667898836,0.0721259667898836,0.080127585396028,True,True,True,False,True,0.080127585396028,False,False,False,False,positive_harmless
35,36,39707851,39704004,3847,negative,-3564.5732249841094,-0.0018477329872244,-452.5803398765943,-0.0238344126731367,0.0238344126731367,0.1623741874086595,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
36,37,1657,1656,1,positive,-40.14725551851916,-0.01794875206206,6.412764017426562,0.1167037763024239,0.1167037763024239,0.1389495863976313,True,True,True,False,True,0.1389495863976313,False,False,False,False,positive_harmless
37,38,156007,155920,1,positive,-242.2284081577964,-0.0042906264116584,10.957104747706284,0.0766308585381272,0.0766308585381272,0.0868104441327406,True,True,True,False,True,0.0868104441327406,False,False,False,False,positive_harmless
38,39,39690667,39682692,7975,negative,-3544.9712293744087,-0.0018380607773058,-364.0109776889212,-0.0133149790272631,0.0133149790272631,0.2349256240499423,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
39,40,30417481,30409154,8327,negative,-3109.5011064745486,-0.0018990304108167,-228.7179970545885,-0.0084422631137849,0.0084422631137849,0.24963148266117,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
40,41,604672261,604520611,151650,negative,-13230.68946671486,-0.0013159872506794,-1617.0683062109456,-0.0101563202445796,0.0101563202445796,0.7568596623500748,True,True,False,True,False,,True,True,True,False,negative_transferred_repaid
41,42,7117417,7115469,1948,negative,-1533.6947649968788,-0.0023092490533791,-117.76229972501552,-0.0107177802092479,0.0107177802092479,0.1460888226947264,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
42,43,12781267,12779528,1739,negative,-2046.5779124442488,-0.0021379098965538,-151.7480364006467,-0.013590059484822,0.013590059484822,0.1300675391522673,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
43,44,109588091,109577354,10737,negative,-5782.091780498624,-0.0016117043962495,-629.3445955758762,-0.0177226687748103,0.0177226687748103,0.2415685632788372,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
44,45,12836777,12833438,3339,negative,-2044.2417605258524,-0.0021297190788301,-163.66723291570224,-0.0105723515140797,0.0105723515140797,0.1752468754780604,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
45,46,618029,618028,1,positive,-481.9425125179114,-0.0034478707340002,12.3342906609052,0.0693704230771723,0.0693704230771723,0.0748436752518515,True,True,True,False,True,0.0748436752518515,False,False,False,False,positive_harmless
46,47,12807413,12805898,1515,negative,-2058.445256838575,-0.0021475743873896,-205.7621329185172,-0.0197377997286405,0.0197377997286405,0.1184377830877646,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
47,48,3440807,3439819,811,positive,-998.3029377148488,-0.0023757630357359,46.90968440981942,0.0072712465886281,0.0072712465886281,0.1225172337511368,True,True,True,False,True,0.1225172337511368,False,False,False,False,positive_harmless
48,49,33902159,33888759,13400,negative,-3262.648028358817,-0.0018638415614247,-291.8733586694325,-0.0083867655278248,0.0083867655278248,0.3075518627750951,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
49,50,3457967,3457512,455,negative,-1098.8602199512534,-0.0026067643639724,-93.6529697629686,-0.0193680367735395,0.0193680367735395,0.0793601948576568,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
50,51,12842173,12840082,2091,negative,-2087.89704384096,-0.0021746310428115,-192.29332879440085,-0.0156957821804743,0.0156957821804743,0.1392439305539144,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
51,52,1512479,1512478,1,positive,-752.8392734350637,-0.0030233813139198,13.229260584493224,0.0653387626052911,0.0653387626052911,0.0713499660129912,True,True,True,False,True,0.0713499660129912,False,False,False,False,positive_harmless
52,53,356243,356170,3,positive,-333.928916840523,-0.003424098718087,22.56633807844032,0.0797278138309229,0.0797278138309229,0.0917954514179663,True,True,True,False,True,0.0917954514179663,False,False,False,False,positive_harmless
53,54,7112297,7110038,2259,negative,-1525.66593407467,-0.0022981965497353,-113.30394854654696,-0.0095767817581473,0.0095767817581473,0.1547550134720171,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
