rank_metric,rank,candidate_id,block_id,x,y,h,p_star,row_regime,post_P0_by_pstar,threshold_relevant_flag,forbidden_flag,finite_zone_flag,C_bridge,C_bridge_sq,B_abs_max,B_L2_exported,B_sq_over_h,kappa_L2,Q_energy_L2,Q_exc,bridge_energy_fraction
B_L2_exported,9,hexc_00027,28,109670797,109660803,9994,109670797,finite_negative,False,False,False,True,4.136664184987013,17.111990579354266,335.81014783297,413.5422999525791,17.11199057935451,0.8120333708824421,0.0120697134740987,0.0098010101179576,8.612504006920934e-05
B_L2_exported,10,hexc_00089,90,179641471,179630689,10782,179641471,finite_negative,False,False,False,True,3.972523031931926,15.780939239229621,218.7079087637594,412.49252948068556,15.780939239229664,0.5302105932417797,0.0109967241394257,0.0058305796296811,6.206770650640548e-05
B_L2_exported,11,hexc_00043,44,109588091,109577354,10737,109588091,finite_negative,False,False,False,True,3.959631268924325,15.67867978584326,235.6779201208592,410.29499736238625,15.678679785843395,0.5744109034619774,0.0115541189824018,0.0066368119233886,8.542050280370882e-05
B_L2_exported,12,hexc_00222,223,604848841,604844050,4791,604848841,post_P0_negative_tail,True,False,False,False,5.844620224509285,34.15958556874296,195.88185471513864,404.5473698590188,34.159585568743424,0.4842000450612348,0.0142946321039825,0.0069214615088821,2.366859739580037e-05
B_L2_exported,13,hexc_00009,10,178298621,178254856,43765,178298621,finite_negative,False,False,False,True,1.9041830682272305,3.6259131573232697,189.86549926782936,398.356736268201,3.6259131573232724,0.4766217864080475,0.005275317087686,0.0025143310542018,2.092108111132384e-05
B_L2_exported,14,hexc_00056,57,179620853,179616870,3983,179620853,finite_negative,False,False,False,True,6.295776388796371,39.63680033772587,185.7346871182781,397.33282741948506,39.636800337725916,0.4674536668025826,0.0174281563213137,0.0081468555780067,6.583213712460457e-05
B_L2_exported,15,hexc_00078,79,109546081,109535495,10586,109546081,finite_negative,False,False,False,True,3.776888156783636,14.26488414885249,152.6328723392062,388.5975599508477,14.26488414885251,0.3927787718443468,0.0110213350410475,0.0043289464415077,8.377516743960189e-05
B_L2_exported,16,hexc_00002,3,30974597,30910184,64413,30974597,finite_negative,False,False,False,True,1.4559801260994336,2.1198781275965226,169.26185381026153,369.5236255408819,2.11987812759657,0.4580542138882419,0.0048937729783674,0.0022416133345536,1.7827582935812384e-05
B_L2_exported,17,hexc_00039,40,30417481,30409154,8327,30417481,finite_negative,False,False,False,True,3.924855301745167,15.404489139637146,231.2263682727644,358.15245506035376,15.404489139637171,0.6456087763904863,0.0132198484570757,0.0085348501864403,0.00018634179473541566
B_L2_exported,18,hexc_00218,219,604167899,604161649,6250,604167899,post_P0_negative_tail,True,False,False,False,4.484403745293162,20.109876950799336,163.4324342131622,354.5232445729002,20.10987695079942,0.4609921541535309,0.0109690693227573,0.0050566548961573,1.78865548816049e-05
