q,N_total,d_emp,g,g2,total_abs_weighted_discrepancy,max_interval_abs_component
887,32,0.00019386184919971405,1.2724556612824826e-06,1.61914340992984e-12,3.318387658830065e-11,3.2434071526961417e-12
829,18,0.00010904729017483916,1.4568509874535992e-06,2.122414799644527e-12,3.250115940727143e-11,6.7885488669957666e-12
881,23,0.00013933820411229448,1.289856567949644e-06,1.6637299658828347e-12,3.0505324387712066e-11,4.9805664416730725e-12
953,26,0.00015751275247476767,1.102224730395831e-06,1.2148993562961622e-12,2.847085942576498e-11,5.713514181618323e-12
883,19,0.00011510547296233022,1.2840168154842155e-06,1.648699182446226e-12,2.8275571526363226e-11,5.427245312576823e-12
919,27,0.00016357093526225873,1.1853369083094488e-06,1.4050235862006027e-12,2.821027510121863e-11,3.0333310631674093e-12
877,24,0.00014539638689978554,1.301656227383723e-06,1.6943089342868263e-12,2.742943961152509e-11,2.1336677339379555e-12
971,28,0.0001696291180497498,1.0617176468090075e-06,1.1272443615456564e-12,2.68736869588799e-11,3.569013017336786e-12
937,27,0.00016357093526225873,1.1402092512017805e-06,1.300077136526125e-12,2.5919788761339633e-11,2.251258576822655e-12
907,22,0.0001332800213248034,1.2169269673449817e-06,1.4809112438514543e-12,2.5858609073632768e-11,2.9290580912642386e-12
839,22,0.0001332800213248034,1.422309204331785e-06,2.0229634727269154e-12,2.4721514169576302e-11,4.3530248256931955e-12
859,21,0.00012722183853731235,1.3568116012819156e-06,1.840937721373196e-12,2.354708636176696e-11,3.452485943678117e-12
811,16,9.693092459985703e-05,1.5222785465284439e-06,2.3173319732207516e-12,2.3274062309357448e-11,5.9587212794013e-12
863,19,0.00011510547296233022,1.344255860283423e-06,1.8070238179063253e-12,2.3212745130883316e-11,3.1521818677109958e-12
1021,27,0.00016357093526225873,9.602273818440207e-07,9.220366248430227e-13,2.2045359121669325e-11,1.990601697354749e-12
941,17,0.00010298910738734809,1.1305311235218305e-06,1.2781006212515322e-12,2.156822092321287e-11,4.814623453030486e-12
983,24,0.00014539638689978554,1.035940934791662e-06,1.0731736203770223e-12,1.946457877752482e-11,3.8332477547151496e-12
967,23,0.00013933820411229448,1.070523978666598e-06,1.146021588900163e-12,1.866854491221696e-11,2.2993608977105488e-12
911,12,7.269819344989277e-05,1.206258066850822e-06,1.4550585238426823e-12,1.7832730989420316e-11,4.250457024829825e-12
1019,22,0.0001332800213248034,9.640022287731529e-07,9.293002970796062e-13,1.734966373641438e-11,2.8068510372408417e-12
997,15,9.087274181236596e-05,1.0070371757843812e-06,1.0141238734117827e-12,1.665860011927104e-11,3.567256569292466e-12
1033,17,0.00010298910738734809,9.38037026197498e-07,8.799134625174456e-13,1.6244981045010574e-11,2.9799015223115434e-12
1039,17,0.00010298910738734809,9.272291980765557e-07,8.597539857656926e-13,1.460251512949457e-11,1.6892254804475658e-12
1069,19,0.00011510547296233022,8.758929728858571e-07,7.671884999508248e-13,1.3075919409434116e-11,1.7304663387898839e-12
947,15,9.087274181236596e-05,1.1162433499802425e-06,1.245999216375114e-12,1.2994697072643026e-11,1.6597772993529427e-12
1051,13,7.875637623738383e-05,9.061664627792125e-07,8.211376582657899e-13,1.2398897077338667e-11,1.3536986529182464e-12
977,13,7.875637623738383e-05,1.0487105055623605e-06,1.0997937244768618e-12,1.2345811855298146e-11,1.0888801376649617e-12
1103,17,0.00010298910738734809,8.227026440017573e-07,6.768396404474822e-13,1.2106091271465396e-11,1.6153351708797868e-12
1013,16,9.693092459985703e-05,9.754612956467113e-07,9.515247393047606e-13,1.2064590764232772e-11,1.3687254437650536e-12
1031,16,9.693092459985703e-05,9.41681655099677e-07,8.86764339551267e-13,1.1959311760617513e-11,1.8160226265287183e-12
1049,14,8.48145590248749e-05,9.096267619470379e-07,8.274208460502532e-13,1.1755545604121869e-11,1.5861080059323007e-12
