candidate_id,block_id,x,y,h,p_star,E_theta_sign,post_P0_flag,finite_zone_flag,E_theta,Q_R2Q,Q_delta_D,Q_exc,epsilon,near_forbidden_flag,forbidden_flag,C_minus_flag,V2,sqrt_V2,V2_source,V2_available_flag,Q_exc_over_sqrt_V2,Q_exc_over_sqrt_V2_global,row_regime,Q_exc_above_0p025_flag,variance_ratio_above_constant_flag,missing_Q_exc_flag,missing_V2_flag,invalid_V2_flag
hexc_00020,21,30847123,30831334,15789,30847123,negative,False,True,-424.33160930738086,0.338124053326903,0.3244066291128366,0.0060303868534807,0.0076870373605856,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.2920432468133326,0.2920432468133326,finite_negative,False,False,False,False,False
hexc_00021,22,60209,60208,1,60209,positive,False,True,10.005577121783782,0.0940510554686493,0.0881934154907322,0.0,0.005857639977917,False,False,False,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.0,0.0,finite_positive,False,False,False,False,False
hexc_00022,23,354553,354550,3,354619,positive,False,True,22.55722059933116,0.0920232096308952,0.088072855820278,0.0146788192753852,-0.010728465464768,False,False,False,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.710874798703052,0.710874798703052,finite_positive,False,False,False,False,False
hexc_00023,24,180619079,180557417,61662,180619079,negative,False,True,-1166.673386312199,0.5459231094474968,0.5329138719787416,0.0051149881925594,0.0078942492761956,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.24771176301976325,0.24771176301976325,finite_negative,False,False,False,False,False
hexc_00024,25,109813367,109790208,23159,109813367,negative,False,True,-719.8064293124298,0.3557665519303423,0.3389837450779626,0.0045682420338709,0.0122145648185086,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.2212336070994769,0.2212336070994769,finite_negative,False,False,False,False,False
hexc_00025,26,230563,230560,3,230647,positive,False,True,21.69655017143579,0.0944180902326222,0.0910569767225814,0.0151761792087925,-0.0118150656987517,False,False,False,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.7349612484311144,0.7349612484311144,finite_positive,False,False,False,False,False
hexc_00026,27,1192781,1192323,458,1192781,negative,False,True,-38.252494546276125,0.0967472985369818,0.0776974809855303,0.0120403626533005,0.0070094548981509,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.5830980146904309,0.5830980146904309,finite_negative,False,False,False,False,False
hexc_00027,28,109670797,109660803,9994,109670797,negative,False,True,-700.5003791113922,0.2345732370876761,0.2113316628996534,0.0098010101179576,0.0134405640700649,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.4746492864295347,0.4746492864295347,finite_negative,False,False,False,False,False
hexc_00028,29,3456977,3455716,1261,3456977,negative,False,True,-56.54292508843059,0.1341559286414388,0.1174356488415478,0.0077614986724626,0.0089587811274282,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.3758785841633075,0.3758785841633075,finite_negative,False,False,False,False,False
hexc_00029,30,4994789,4991760,3029,4994789,negative,False,True,-113.94054074237602,0.1879865387221068,0.1751074858509674,0.0057126820734734,0.0071663707976659,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.2766572462571837,0.2766572462571837,finite_negative,False,False,False,False,False
