block_id,p_star,y,h,t,offset,D_t,line_t,diff,abs_diff,Q_delayed_proxy
49,33902159,33888759,13400,33889058,299.0,-3520.357830602888,-3517.990649665834,-2.367180937053945,2.367180937053945,0.30255789843425773
49,33902159,33888759,13400,33889152,393.0,-3553.1473639195,-3590.638309936421,37.49094601692104,37.49094601692104,0.30255789843425773
49,33902159,33888759,13400,33889274,515.0,-3632.14942683859,-3684.9256987982467,52.7762719596567,52.7762719596567,0.30255789843425773
49,33902159,33888759,13400,33889435,676.0,-3755.138520589093,-3809.3541381978694,54.21561760877648,54.21561760877648,0.30255789843425773
49,33902159,33888759,13400,33889646,887.0,-3989.278604794771,-3972.4249500818464,-16.85365471292471,16.85365471292471,0.30255789843425773
49,33902159,33888759,13400,33889923,1164.0,-4174.939916372018,-4186.5036936451725,11.563777273154301,11.563777273154301,0.30255789843425773
49,33902159,33888759,13400,33890286,1527.0,-4464.560471630085,-4467.047317881588,2.486846251503266,2.486846251503266,0.30255789843425773
49,33902159,33888759,13400,33890762,2003.0,-4661.561552665644,-4834.922703932645,173.36115126700133,173.36115126700133,0.30255789843425773
49,33902159,33888759,13400,33891387,2628.0,-5244.033710862197,-5317.952359987081,73.91864912488381,73.91864912488381,0.30255789843425773
49,33902159,33888759,13400,33892207,3448.0,-5838.263147407435,-5951.687268730499,113.42412132306436,113.42412132306436,0.30255789843425773
49,33902159,33888759,13400,33893282,4523.0,-6762.221178401723,-6782.498277144128,20.277098742405542,20.277098742405542,0.30255789843425773
49,33902159,33888759,13400,33894693,5934.0,-7876.8792983841695,-7872.98602865262,-3.8932697315494806,3.8932697315494806,0.30255789843425773
49,33902159,33888759,13400,33896544,7785.0,-9352.09748699603,-9303.526658023435,-48.570828972595336,48.570828972595336,0.30255789843425773
49,33902159,33888759,13400,33898973,10214.0,-11211.113019167273,-11180.773113313391,-30.339905853881646,30.339905853881646,0.30255789843425773
49,33902159,33888759,13400,33902159,13400.0,-13643.06508801648,-13643.06508801648,0.0,0.0,0.30255789843425773
39,39690667,39682692,7975,39682692,0.0,-3641.029352975941,-3641.029352975941,0.0,0.0,0.22538227713002762
39,39690667,39682692,7975,39682693,1.0,-3640.706002910941,-3641.778312562686,1.0723096517449449,1.0723096517449449,0.22538227713002762
39,39690667,39682692,7975,39682694,2.0,-3640.7048504045833,-3642.5272721494307,1.822421744847361,1.822421744847361,0.22538227713002762
39,39690667,39682692,7975,39682695,3.0,-3640.381500339584,-3643.2762317361758,2.894731396591851,2.894731396591851,0.22538227713002762
39,39690667,39682692,7975,39682696,4.0,-3640.237789199584,-3644.0251913229204,3.7874021233365056,3.7874021233365056,0.22538227713002762
39,39690667,39682692,7975,39682697,5.0,-3639.914439134584,-3644.7741509096654,4.8597117750814505,4.8597117750814505,0.22538227713002762
39,39690667,39682692,7975,39682698,6.0,-3639.9001078297633,-3645.52311049641,5.623002666646698,5.623002666646698,0.22538227713002762
39,39690667,39682692,7975,39682700,8.0,-3639.4711740700695,-3647.0210296698997,7.549855599830153,7.549855599830153,0.22538227713002762
39,39690667,39682692,7975,39682702,10.0,-3639.0041128650696,-3648.5189488433894,9.514835978319752,9.514835978319752,0.22538227713002762
39,39690667,39682692,7975,39682705,13.0,-3638.3574125585,-3650.765827603624,12.408415045124002,12.408415045124002,0.22538227713002762
39,39690667,39682692,7975,39682708,16.0,-3637.6834073118994,-3653.0127063638583,15.32929905195897,15.32929905195897,0.22538227713002762
39,39690667,39682692,7975,39682709,17.0,-3637.3600572469,-3653.7616659506034,16.40160870370346,16.40160870370346,0.22538227713002762
39,39690667,39682692,7975,39682714,22.0,-3636.5238112510415,-3657.5064638843273,20.982652633285852,20.982652633285852,0.22538227713002762
39,39690667,39682692,7975,39682720,28.0,-3652.699532185261,-3662.0002214047963,9.300689219535343,9.300689219535343,0.22538227713002762
